Drivers,Drivers_ID,Year,Australia,Styria,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Silverstone,Germany,Hungary,Belgium,Italy,Netherlands,Tuscany,Singapore,Japan,Russia,Eifel,Portugal,Emilia_Romagna,Sakhir,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total Points
A. SUTIL,6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. ERICSSON,61,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. GUTIERREZ,21,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. CHILTON,60,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K. KOBAYASHI,49,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. STEVENS,109,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. HAMILTON,55,2015,25,0,18,25,0,25,18,15,25,0,0,0,18,18,0,0,25,8,25,0,0,25,0,0,0,0,0,0,0,25,18,0,0,25,18,0,0,25,18
N. ROSBERG,74,2015,18,0,15,18,0,15,25,25,18,0,0,0,25,25,0,0,18,4,18,0,0,0,12,0,0,0,0,0,0,18,25,0,0,0,25,0,0,18,25
S. VETTEL,100,2015,15,0,25,15,0,10,15,18,10,0,0,0,12,12,0,0,15,25,0,0,0,18,25,0,0,0,0,0,0,6,15,0,0,18,0,0,0,15,12
K. RAIKKONEN,52,2015,0,0,12,12,0,18,10,8,12,0,0,0,0,0,0,0,4,0,6,0,0,10,15,0,0,0,0,0,0,15,12,0,0,4,0,0,0,0,15
V. BOTTAS,106,2015,0,0,10,8,0,12,12,0,15,0,0,0,10,10,0,0,10,0,2,0,0,12,10,0,0,0,0,0,0,4,10,0,0,0,15,0,0,0,0
F. MASSA,26,2015,12,0,8,10,0,1,8,0,8,0,0,0,15,15,0,0,12,0,8,0,0,15,0,0,0,0,0,0,0,8,0,0,0,12,8,0,0,0,4
D. KVYAT,17,2015,0,0,2,0,0,2,1,12,2,0,0,0,0,0,0,0,8,18,12,0,0,1,8,0,0,0,0,0,0,0,6,0,0,10,12,0,0,0,1
D. RICCIARDO,18,2015,8,0,1,2,0,8,6,10,0,0,0,0,1,1,0,0,0,15,0,0,0,4,18,0,0,0,0,0,0,12,0,0,0,0,10,0,0,1,8
S. PEREZ,96,2015,1,0,0,0,0,4,0,6,0,0,0,0,2,2,0,0,2,0,10,0,0,8,6,0,0,0,0,0,0,0,0,0,0,15,4,0,0,10,10
N. HULKENBERG,70,2015,6,0,0,0,0,0,0,0,4,0,0,0,8,8,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,1,8,0,0,0,6,0,0,0,6
R. GROSJEAN,88,2015,0,0,0,6,0,6,4,0,1,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1,0,0,0,2
M. VERSTAPPEN,66,2015,0,0,6,0,0,0,0,0,0,0,0,0,4,4,0,0,0,12,4,0,0,0,4,0,0,0,0,0,0,2,2,0,0,1,2,0,0,12,0
F. NASR,27,2015,10,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0
P. MALDONADO,83,2015,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,4,0
C. SAINZ,15,2015,2,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
J. BUTTON,37,2015,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0
F. ALONSO,24,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. ERICSSON,61,2015,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R. MERHI,91,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. ROSSI,5,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W. STEVENS,109,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. ROSBERG,74,2016,25,0,25,25,0,0,0,6,10,25,0,0,25,12,0,18,15,12,25,0,0,25,15,25,0,0,0,0,0,25,18,0,0,25,18,0,0,18,18
L. HAMILTON,55,2016,18,0,15,6,0,0,0,25,25,10,0,0,10,25,0,25,25,25,15,0,0,18,0,18,0,0,0,0,0,18,25,0,0,15,25,0,0,25,25
D. RICCIARDO,18,2016,12,0,18,12,0,0,12,18,6,6,0,0,6,10,0,15,12,18,18,0,0,10,25,0,0,0,0,0,0,6,4,0,0,8,15,0,0,15,10
S. VETTEL,100,2016,15,0,10,18,0,0,15,12,18,18,0,0,18,0,0,12,2,10,8,0,0,15,0,0,0,0,0,0,0,15,10,0,0,12,10,0,0,12,15
M. VERSTAPPEN,66,2016,1,0,8,4,0,0,25,0,12,4,0,0,4,18,0,10,18,15,0,0,0,6,18,0,0,0,0,0,0,4,15,0,0,18,12,0,0,0,12
K. RAIKKONEN,52,2016,0,0,12,10,0,0,18,0,8,12,0,0,12,15,0,8,10,8,2,0,0,12,12,15,0,0,0,0,0,8,0,0,0,10,8,0,0,0,8
S. PEREZ,96,2016,0,0,4,0,0,0,6,15,1,15,0,0,15,0,0,0,8,1,10,0,0,4,8,2,0,0,0,0,0,0,12,0,0,6,1,0,0,4,4
V. BOTTAS,106,2016,4,0,0,1,0,0,10,0,15,8,0,0,8,2,0,2,0,2,4,0,0,8,10,12,0,0,0,0,0,12,0,0,0,1,4,0,0,0,0
N. HULKENBERG,70,2016,6,0,0,0,0,0,0,8,4,2,0,0,2,0,0,1,6,6,12,0,0,1,4,0,0,0,0,0,0,0,6,0,0,4,6,0,0,0,6
F. ALONSO,24,2016,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,8,0,0,0,0,0,1,1,0,0,0,0,0,0,10,1
F. MASSA,26,2016,10,0,0,8,0,0,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,10,0,0,0,0,0,10,0,0,0,2,2,0,0,6,2
C. SAINZ,15,2016,2,0,0,2,0,0,8,4,2,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,8,0
R. GROSJEAN,88,2016,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
D. KVYAT,17,2016,0,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. BUTTON,37,2016,0,0,0,0,0,0,2,2,0,0,0,0,0,8,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
K. MAGNUSSEN,50,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F. NASR,27,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
J. PALMER,42,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. WEHRLEIN,84,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. VANDOORNE,99,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. GUTIERREZ,21,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. ERICSSON,61,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. OCON,23,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R. HARYANTO,89,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. HAMILTON,55,2017,18,0,25,25,0,0,25,6,25,0,0,10,10,12,0,0,25,12,25,0,0,25,18,12,0,0,0,0,0,25,12,0,0,25,2,0,0,25,18
S. VETTEL,100,2017,25,0,0,18,0,0,18,25,12,0,0,12,12,18,0,0,6,25,18,0,0,15,12,18,0,0,0,0,0,18,25,0,0,0,12,0,0,18,15
V. BOTTAS,106,2017,15,0,15,8,0,0,0,12,18,0,0,18,18,25,0,0,18,15,10,0,0,18,10,25,0,0,0,0,0,6,18,0,0,12,18,0,0,10,25
K. RAIKKONEN,52,2017,12,0,0,10,0,0,0,18,6,0,0,0,0,10,0,0,15,18,12,0,0,10,0,15,0,0,0,0,0,15,15,0,0,10,15,0,0,15,12
D. RICCIARDO,18,2017,0,0,18,12,0,0,15,15,15,0,0,25,25,15,0,0,10,0,15,0,0,12,15,0,0,0,0,0,0,4,8,0,0,15,0,0,0,0,0
M. VERSTAPPEN,66,2017,10,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,12,10,0,0,0,1,25,10,0,0,0,0,0,8,10,0,0,18,25,0,0,12,10
S. PEREZ,96,2017,6,0,10,2,0,0,12,0,10,0,0,0,0,6,0,0,2,4,0,0,0,2,8,8,0,0,0,0,0,0,2,0,0,6,6,0,0,4,6
E. OCON,23,2017,1,0,1,1,0,0,10,0,8,0,0,8,8,4,0,0,4,2,2,0,0,8,1,6,0,0,0,0,0,12,0,0,0,8,10,0,0,8,4
C. SAINZ,15,2017,4,0,12,6,0,0,6,8,0,0,0,4,4,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
N. HULKENBERG,70,2017,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,8,0,8,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8
F. MASSA,26,2017,8,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,4,0,0,4,2,2,0,0,0,0,0,10,6,0,0,1,0,0,0,2,1
L. STROLL,59,2017,0,0,4,0,0,0,0,0,2,0,0,15,15,1,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0
R. GROSJEAN,88,2017,0,0,2,0,0,0,1,4,1,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
K. MAGNUSSEN,50,2017,0,0,0,4,0,0,0,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
F. ALONSO,24,2017,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2
S. VANDOORNE,99,2017,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. PALMER,42,2017,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. WEHRLEIN,84,2017,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. KVYAT,17,2017,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M. ERICSSON,61,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. GASLY,82,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. GIOVINAZZI,2,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B. HARTLEY,8,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. HAMILTON,55,2018,18,0,25,12,0,0,25,15,10,0,25,25,25,0,0,18,25,25,18,0,0,25,25,25,0,0,0,0,0,25,25,0,0,25,12,0,0,15,25
S. VETTEL,100,2018,25,0,0,4,0,0,12,18,25,0,10,12,10,15,0,25,0,18,25,0,0,12,15,15,0,0,0,0,0,18,8,0,0,8,18,0,0,12,18
K. RAIKKONEN,52,2018,15,0,15,15,0,0,0,12,8,0,15,18,15,18,0,15,15,15,0,0,0,18,12,10,0,0,0,0,0,6,15,0,0,10,15,0,0,25,0
M. VERSTAPPEN,66,2018,8,0,0,10,0,0,15,2,15,0,18,0,18,25,0,0,12,0,15,0,0,10,10,18,0,0,0,0,0,15,18,0,0,15,25,0,0,18,15
V. BOTTAS,106,2018,4,0,18,18,0,0,18,10,18,0,6,0,6,0,0,12,18,10,12,0,0,15,18,12,0,0,0,0,0,4,10,0,0,18,10,0,0,10,10
D. RICCIARDO,18,2018,12,0,0,25,0,0,10,25,12,0,12,0,12,0,0,10,0,12,0,0,0,0,8,8,0,0,0,0,0,8,12,0,0,12,0,0,0,0,12
N. HULKENBERG,70,2018,6,0,10,8,0,0,0,4,6,0,2,0,2,0,0,8,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0
S. PEREZ,96,2018,0,0,1,0,0,0,2,0,0,0,0,15,0,6,0,1,6,0,10,0,0,6,1,0,0,0,0,0,0,12,1,0,0,6,0,0,0,4,4
K. MAGNUSSEN,50,2018,0,0,12,1,0,0,8,0,0,0,8,0,8,10,0,2,0,6,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
C. SAINZ,15,2018,1,0,0,2,0,0,6,1,4,0,4,10,4,0,0,0,0,2,0,0,0,4,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,6,8
F. ALONSO,24,2018,10,0,0,6,0,0,4,0,0,0,0,6,0,4,0,4,0,4,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
E. OCON,23,2018,0,0,4,0,0,0,0,8,2,0,0,0,0,8,0,6,4,0,8,0,0,8,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
C. LECLERC,13,2018,0,0,2,0,0,0,1,0,1,0,1,8,1,2,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6
R. GROSJEAN,88,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,1,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,2
P. GASLY,82,2018,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S. VANDOORNE,99,2018,2,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
M. ERICSSON,61,2018,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
L. STROLL,59,2018,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B. HARTLEY,8,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
S. SIROTKIN,97,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. HAMILTON,55,2019,18,0,25,25,0,0,26,25,25,0,25,18,25,10,0,26,2,25,18,0,0,16,26,12,0,0,0,0,0,25,6,0,0,25,18,0,0,16,26
V. BOTTAS,106,2019,26,0,0,18,0,0,18,15,13,0,18,25,18,15,0,18,0,4,15,0,0,18,18,10,0,0,0,0,0,18,0,0,0,15,25,0,0,25,12
M. VERSTAPPEN,66,2019,15,0,15,12,0,0,15,12,10,0,12,12,12,26,0,10,26,19,0,0,0,4,12,15,0,0,0,0,0,6,25,0,0,8,15,0,0,0,18
C. LECLERC,13,2019,10,0,0,10,0,0,10,0,15,0,15,11,15,18,0,15,0,12,25,0,0,25,15,18,0,0,0,0,0,15,0,0,0,13,13,0,0,8,15
S. VETTEL,100,2019,12,0,18,15,0,0,12,18,18,0,11,15,11,12,0,0,18,15,13,0,0,0,0,25,0,0,0,0,0,4,0,0,0,18,0,0,0,18,10
C. SAINZ,15,2019,0,0,0,0,0,0,4,8,0,0,8,6,8,4,0,8,10,10,0,0,0,0,8,0,0,0,0,0,0,8,15,0,0,0,4,0,0,10,1
P. GASLY,82,2019,0,0,10,9,0,0,8,11,4,0,1,0,1,6,0,12,0,8,2,0,0,0,0,4,0,0,0,0,0,0,18,0,0,2,0,0,0,6,0
A. ALBON,1,2019,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,8,1,10,0,0,8,10,8,0,0,0,0,0,12,0,0,0,10,10,0,0,12,8
D. RICCIARDO,18,2019,0,0,12,6,0,0,0,2,8,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,4,8,0,0,0,0
S. PEREZ,96,2019,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,6,6,0,0,0,0,0,0,1,2,0,0,6,1,0,0,4,6
L. NORRIS,57,2019,0,0,0,0,0,0,0,0,0,0,2,4,2,8,0,0,0,2,0,0,0,1,4,6,0,0,0,0,0,10,4,0,0,0,6,0,0,0,4
K. RAIKKONEN,52,2019,4,0,4,2,0,0,0,0,0,0,6,1,6,2,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
D. KVYAT,17,2019,1,0,2,0,0,0,2,6,1,0,0,0,0,0,0,2,15,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
N. HULKENBERG,70,2019,6,0,0,0,0,0,0,0,6,0,4,0,4,0,0,1,0,0,4,0,0,10,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
L. STROLL,59,2019,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
K. MAGNUSSEN,50,2019,8,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. GIOVINAZZI,2,2019,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
R. GROSJEAN,88,2019,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R. KUBICA,90,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G. RUSSELL,29,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. VERSTAPPEN,66,2022,0,0,0,0,0,0,25,15,25,0,25,25,27,6,0,0,25,26,25,26,0,6,25,0,0,0,34,0,0,0,25,0,25,25,13,0,26,25,454
C. LECLERC,13,2022,26,0,0,0,0,26,0,12,10,0,0,0,32,12,0,0,8,8,18,15,0,18,15,0,0,0,15,0,0,0,18,0,19,15,15,0,18,8,308
S. PEREZ,96,2022,18,0,0,0,0,0,19,25,0,0,12,19,4,18,0,0,10,18,9,10,0,25,18,0,0,0,24,0,0,0,15,0,12,12,10,0,12,15,305
G. RUSSELL,29,2022,15,0,0,0,0,12,15,10,12,0,15,15,17,0,0,0,15,12,15,18,0,0,4,0,0,0,12,0,0,0,10,0,10,11,34,0,10,13,275
C. SAINZ,15,2022,0,0,0,0,0,18,12,18,19,0,11,0,6,25,0,0,12,15,12,4,0,15,0,0,0,0,5,0,0,0,12,0,15,0,22,0,15,10,246
L. HAMILTON,55,2022,12,0,0,0,0,15,10,4,15,0,18,12,16,16,0,0,19,0,10,12,0,2,10,0,0,0,0,0,0,0,0,0,1,18,24,0,8,18,240
L. NORRIS,57,2022,10,0,0,0,0,0,4,9,0,0,6,2,6,8,0,0,6,0,6,6,0,12,1,0,0,0,19,0,0,0,9,0,6,8,2,0,0,2,122
E. OCON,23,2022,6,0,0,0,0,6,6,0,8,0,4,1,13,0,0,0,2,6,0,2,0,0,12,0,0,0,0,0,0,0,6,0,8,0,4,0,4,4,92
F. ALONSO,24,2022,0,0,0,0,0,2,2,6,2,0,8,6,1,10,0,0,4,10,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,81
V. BOTTAS,106,2022,4,0,0,0,0,8,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,6,1,49
D. RICCIARDO,18,2022,8,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,6,37
S. VETTEL,100,2022,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0,1,4,0,0,0,4,8,0,0,0,4,0,0,0,1,0,0,4,0,0,0,0,37
K. MAGNUSSEN,50,2022,0,0,0,0,0,10,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,1,0,0,0,25
P. GASLY,82,2022,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,23
L. STROLL,59,2022,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,4,0,0,0,1,0,1,0,18
M. SCHUMACHER,65,2022,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Y. TSUNODA,111,2022,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,12
G. ZHOU,31,2022,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
A. ALBON,1,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
N. LATIFI,72,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
N. de VRIES,68,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
N. HULKENBERG,70,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
